trade_date,idx,open,high,low,close,preclose,change,pctChg,volume,amount,turn,turn_f,pe,pe_ttm,pb,total_share,float_share,free_share,total_mv,float_mv
20140113.0,02399006,1352.007,1374.145,1349.246,1362.788,1353.302,9.486,0.701,1230728940.0,22095713648.8,2.12,2.92,69.97,61.46,6.04,33001511002.0,21014077909.0,15265085572.0,874237586621.0,527712984186.0
20140113.0,02399673,1340.0488,1360.9261,1333.6955,1348.9389,1339.4567,9.4822,0.7079,259438814.0,7047731811.700001,,,,,,,,,,
20140114.0,01000001,2007.156,2027.428,2001.135,2026.842,2009.564,17.278,0.8598,7036661400.0,56687625248.0,0.3,0.99,10.33,9.27,1.29,3245240569303.0,2364017344227.0,710939330774.0,17553530983039.0,13065120512655.0
20140114.0,01000020,796.394,810.05,794.598,809.953,797.532,12.421,1.5574,1307264800.0,12431985610.0,,,,,,,,,,
20140114.0,01000688,,,,,,,,,,,,,,,,,,,
20140114.0,01000852,4346.656,4447.699,4345.418,4447.699,4346.713,100.986,2.3233,4516367159.0,50337247518.0,,,,,,,,,,
20140114.0,01000905,3610.638,3683.534,3601.993,3683.534,3612.02,71.514,1.9799,2856510400.0,27864934160.0,0.84,1.46,30.47,27.6,2.25,417420290684.0,340790677111.0,195588746485.0,3539886888282.0,2766567463157.0
20140114.0,02399001,7568.603,7666.522,7543.372,7665.771,7572.56,93.211,1.2309,7743588472.0,88193263590.20001,0.9,1.4,15.52,14.2,2.07,144493524504.0,111976295010.0,72152297583.0,1734914500352.0,1257922884152.0
20140114.0,02399005,4825.343,4902.681,4792.411,4901.99,4828.985,73.005,1.5118,3023719777.0,39016310561.2,1.16,2.19,30.14,28.75,3.7,87480094230.0,72026759372.0,38317748570.0,1463753605593.0,1110987955508.0
20140114.0,02399006,1364.801,1400.916,1364.801,1400.916,1362.788,38.128,2.7978,1525289144.0,26575870854.3,2.29,3.15,71.81,63.08,6.2,33001511002.0,21014077909.0,15270585572.0,897202076159.0,542581702980.0
20140114.0,02399673,1355.5633,1386.3054,1353.396,1386.3054,1348.9389,37.3665,2.7701,289197103.0,7922403581.1,,,,,,,,,,
20140115.0,01000001,2024.228,2027.409,2010.204,2023.348,2026.842,-3.494,-0.1724,6743622200.0,57740358255.0,0.28,0.95,10.3,9.25,1.28,3245642874303.0,2363977113727.0,711162240442.0,17510741676006.0,13041563341220.0
20140115.0,01000020,808.706,814.203,806.662,813.946,809.953,3.993,0.493,1357069200.0,13394673233.0,,,,,,,,,,
20140115.0,01000688,,,,,,,,,,,,,,,,,,,
20140115.0,01000852,4445.894,4494.095,4440.846,4494.095,4447.699,46.396,1.0431,4817364349.0,57231748106.0,,,,,,,,,,
20140115.0,01000905,3681.042,3708.542,3675.635,3708.142,3683.534,24.608,0.6681,2947919300.0,30178561089.0,0.87,1.51,30.65,27.77,2.26,417421400684.0,340790677111.0,195592232112.0,3561794164629.0,2782737472674.0
20140115.0,02399001,7660.659,7697.035,7614.519,7668.802,7665.771,3.031,0.0395,7796976248.0,96034639324.4,0.74,1.14,15.54,14.22,2.07,144493524504.0,111976295010.0,72152297583.0,1737834738425.0,1257975410581.0
20140115.0,02399005,4903.622,4963.236,4903.075,4962.507,4901.99,60.517,1.2345,3291459417.0,43825243125.8,1.27,2.38,30.5,29.09,3.74,87480094230.0,72026759372.0,38317748570.0,1481101294132.0,1122562207766.0
20140115.0,02399006,1399.666,1417.416,1397.945,1415.323,1400.916,14.407,1.0284,1694526454.0,30011802726.5,2.27,3.12,72.58,63.76,6.27,33001640352.0,21028744910.0,15271189789.0,906834736270.0,548333824916.0
20140115.0,02399673,1385.4964,1404.5667,1385.4964,1401.719,1386.3054,15.4136,1.1118,291147052.0,7887349280.7,,,,,,,,,,
20140116.0,01000001,2022.538,2034.707,2014.407,2023.701,2023.348,0.353,0.0174,7275571900.0,62829760799.0,0.31,1.02,10.3,9.25,1.28,3245953196303.0,2363977113727.0,711172324486.0,17513303960275.0,13041135360731.0
20140116.0,01000020,813.753,820.128,812.536,815.919,813.946,1.973,0.2424,1431871900.0,14043895346.0,,,,,,,,,,
